genesym	ensid	essentiality
CDC27	ENSG00000004897	100.00
CKAP5	ENSG00000175216	100.00
ERH	ENSG00000100632	100.00
FAM86B1	ENSG00000186523	100.00
NARS	ENSG00000134440	100.00
POLR2A	ENSG00000181222	100.00
POLR2B	ENSG00000047315	100.00
POLR2F	ENSG00000100142	100.00
PRPF38A	ENSG00000134748	100.00
PSMB3	ENSG00000277791	100.00
PSMC6	ENSG00000100519	100.00
RAN	ENSG00000132341	100.00
RPA1	ENSG00000132383	100.00
RPL11	ENSG00000142676	100.00
RPL13	ENSG00000167526	100.00
RPL14	ENSG00000188846	100.00
RPL15	ENSG00000174748	100.00
RPL18A	ENSG00000105640	100.00
RPL3	ENSG00000100316	100.00
RPS11	ENSG00000142534	100.00
RPS15	ENSG00000115268	100.00
RPS19	ENSG00000105372	100.00
RPS23	ENSG00000186468	100.00
RPS5	ENSG00000083845	100.00
RPS7	ENSG00000171863	100.00
RRM1	ENSG00000167325	100.00
SF3B3	ENSG00000189091	100.00
SF3B5	ENSG00000169976	100.00
SMU1	ENSG00000122692	100.00
SNRPA1	ENSG00000131876	100.00
SNRPD3	ENSG00000100028	100.00
SNRPE	ENSG00000182004	100.00
SRSF3	ENSG00000112081	100.00
THOC2	ENSG00000125676	100.00
UBL5	ENSG00000198258	100.00
CDC16	ENSG00000130177	99.69
CDC7	ENSG00000097046	99.69
CDK1	ENSG00000170312	99.69
CHEK1	ENSG00000149554	99.69
CSE1L	ENSG00000124207	99.69
EFTUD2	ENSG00000108883	99.69
EIF4A3	ENSG00000141543	99.69
GINS1	ENSG00000101003	99.69
HIST1H2BB	ENSG00000276410	99.69
HNRNPK	ENSG00000165119	99.69
KIF11	ENSG00000138160	99.69
LSM5	ENSG00000106355	99.69
PLK1	ENSG00000166851	99.69
POLR2C	ENSG00000102978	99.69
POLR2L	ENSG00000177700	99.69
PSMA2	ENSG00000106588	99.69
PSMC3	ENSG00000165916	99.69
PUF60	ENSG00000179950	99.69
RPL10A	ENSG00000198755	99.69
RPL12	ENSG00000197958	99.69
RPL21	ENSG00000122026	99.69
RPL27A	ENSG00000166441	99.69
RPL31	ENSG00000071082	99.69
RPL32	ENSG00000144713	99.69
RPL36	ENSG00000130255	99.69
RPL37A	ENSG00000197756	99.69
RPL6	ENSG00000089009	99.69
RPL8	ENSG00000161016	99.69
RPS12	ENSG00000112306	99.69
RPS28	ENSG00000233927	99.69
RPS3	ENSG00000149273	99.69
RPS6	ENSG00000137154	99.69
RPS8	ENSG00000142937	99.69
