meta	meta	meta	meta	confluence	confluence	confluence	confluence	confluence	confluence	GFP obj count	GFP obj count	GFP obj count	GFP obj count	GFP obj count	GFP obj count
plate	date	time	replicate	CDK1	GUK1	DOLK	WEE1	NTC	no virus	CDK1	GUK1	DOLK	WEE1	NTC	no virus
48w_rep1	25.06	2	B	23	22	23	22	26	28	229	242	245	299	212	1
48w_rep1	25.06	2	C	22	22	22	22	24	28	253	277	281	284	261	0
48w_rep1	25.06	2	D	22	22	24	21	24	27	239	280	259	282	268	3
48w_rep1	26.06 morning	18	B	23	22	26	23	28	32	280	232	284	266	271	0
48w_rep1	26.06 morning	18	C	21	22	25	23	27	30	274	259	307	276	295	0
48w_rep1	26.06 morning	18	D	22	24	28	26	28	32	272	220	329	307	331	3
48w_rep1	26.06 evening	24	B	24	24	29	26	32	35	244	245	289	260	275	0
48w_rep1	26.06 evening	24	C	26	25	29	27	31	38	328	266	311	260	305	0
48w_rep1	26.06 evening	24	D	23	33	33	29	32	37	256	202	289	283	314	0
48w_rep1	27.06 morning	42	B	26	25	33	28	38	46	235	242	341	262	331	1
48w_rep1	27.06 morning	42	C	27	29	36	30	38	48	267	293	347	306	467	1
48w_rep1	27.06 morning	42	D	25	32	36	46	40	47	251	203	315	347	418	1
48w_rep1	27.06 evening	48	B	26	25	34	29	40	50	212	258	347	299	367	0
48w_rep1	27.06 evening	48	C	27	29	37	31	40	52	248	325	367	326	545	0
48w_rep1	27.06 evening	48	D	26	31	42	45	47	50	241	204	350	342	466	1
48w_rep1	28.06 morning	66	B	22	24	36	29	45	64	27	216	442	287	492	0
48w_rep1	28.06 morning	66	C	20	26	38	30	44	62	56	305	518	352	676	0
48w_rep1	28.06 morning	66	D	21	27	39	41	48	63	30	171	469	310	663	0
48w_rep1	28.06 evening	72	B	23	26	39	31	49	70	39	217	470	356	566	0
48w_rep1	28.06 evening	72	C	22	30	42	33	50	69	57	352	609	361	712	1
48w_rep1	28.06 evening	72	D	22	29	43	53	58	70	39	154	490	330	667	2
48w_rep1	29.07 morning	90	B	21	24	39	33	56	82	38	248	606	401	717	0
48w_rep1	29.07 morning	90	C	20	27	42	35	58	80	51	477	678	549	794	1
48w_rep1	29.07 morning	90	D	21	27	42	50	62	80	46	202	641	463	864	0
48w_rep2	29-Jul	18	A	24	24	24	23	24	23	76	172	144	129	123	5
48w_rep2	29-Jul	18	B	23	25	25	24	23	23	50	153	172	104	107	4
48w_rep2	29-Jul	18	C	23	25	25	24	25	24	63	162	130	123	110	7
48w_rep2	30-Jul	24	A	28	28	30	29	33	31	48	130	148	138	111	7
48w_rep2	30-Jul	24	B	27	28	27	28	29	28	33	184	195	103	123	6
48w_rep2	30-Jul	24	C	29	32	33	29	27	28	47	191	163	119	132	5
48w_rep2	31-Jul	42	A	32	30	32	30	36	38	70	211	277	187	229	12
48w_rep2	31-Jul	42	B	29	25	31	28	31	35	63	262	412	123	268	8
48w_rep2	31-Jul	42	C	32	33	34	30	32	39	72	261	256	155	289	7
48w_rep2	01-Aug	48	A	29	30	37	33	42	53	69	241	492	297	480	3
48w_rep2	01-Aug	48	B	27	29	35	30	38	49	78	349	597	156	502	6
48w_rep2	01-Aug	48	C	29	32	36	30	38	51	75	246	381	152	464	6
48w_rep2	02-Aug	66	A	34	35	48	40	57	73	82	247	609	337	618	9
48w_rep2	02-Aug	66	B	32	34	48	39	54	73	69	398	748	260	613	9
48w_rep2	02-Aug	66	C	32	36	48	38	54	72	68	267	467	224	616	5
48w_rep2	03-Aug	72	A	33	38	59	47	70	87	45	291	702	408	704	8
48w_rep2	03-Aug	72	B	33	36	61	45	68	88	43	398	942	331	762	3
48w_rep2	03-Aug	72	C	33	38	60	44	68	87	37	267	687	264	710	2
48w_rep2	05-Aug	90	A	34	47	75	61	90	95	35	492	946	604	1086	5
48w_rep2	05-Aug	90	B	34	42	75	59	88	94	42	626	1199	491	1094	2
48w_rep2	05-Aug	90	C	34	42	74	59	89	94	42	320	1177	417	1034	8
48w_rep3	05/Aug	0	AA	24	22	20	20	20	21	70	90	35	66	22	10
48w_rep3	05/Aug	0	AB	23	21	19	20	19	21	118	70	25	47	38	7
48w_rep3		0	AC	23	21	20	20	20	20	112	58	54	129	24	11
48w_rep3		24	AA	26	26	19	23	24	25	104	58	16	65	20	9
48w_rep3		24	AB	26	23	18	22	23	24	110	28	19	63	21	7
48w_rep3		24	AC	25	25	19	23	25	25	28	66	12	39	24	7
48w_rep3		48	AA	31	30	20	24	29	32	147	143	17	71	56	7
48w_rep3		48	AB	30	26	20	25	29	30	181	59	23	75	34	3
48w_rep3		48	AC	30	29	20	25	31	30	43	119	15	51	54	6
48w_rep3		72	AA	34	32	20	25	36	43	181	193	20	123	120	
48w_rep3		72	AB	33	28	21	26	36	40	170	110	26	131	67	
48w_rep3		72	AC	35	32	22	28	40	41	70	191	39	71	132	
48w_rep3		96	AA	39	36	22	30	49	58	161	240	28	170	187	6
48w_rep3		96	AB	34	30	23	30	49	54	189	131	45	184	128	7
